2.0437438f0, 0.81390125f0
2.0445445f0, 0.74661875f0
2.0445445f0, 0.8144117f0
2.0453453f0, 0.7460436f0
2.0453453f0, 0.8149136f0
2.0461462f0, 0.7454698f0
2.0461462f0, 0.815409f0
2.046947f0, 0.7449135f0
2.046947f0, 0.8158935f0
2.0477479f0, 0.7443636f0
2.0477479f0, 0.8163705f0
2.0485485f0, 0.7438167f0
2.0485485f0, 0.81684124f0
2.0493493f0, 0.7432871f0
2.0493493f0, 0.8173021f0
2.0501502f0, 0.7427499f0
2.0501502f0, 0.8177598f0
2.050951f0, 0.74222785f0
2.050951f0, 0.8182087f0
2.0517519f0, 0.74171275f0
2.0517519f0, 0.8186511f0
2.0525525f0, 0.7412158f0
2.0525525f0, 0.8190846f0
2.0533533f0, 0.74071825f0
2.0533533f0, 0.81951386f0
2.0541542f0, 0.74020886f0
2.0541542f0, 0.8199411f0
2.054955f0, 0.73971033f0
2.054955f0, 0.82036155f0
2.0557559f0, 0.7392268f0
2.0557559f0, 0.8207748f0
2.0565565f0, 0.73875093f0
2.0565565f0, 0.8211824f0
2.0573573f0, 0.7382844f0
2.0573573f0, 0.82158446f0
2.0581582f0, 0.7377908f0
2.0581582f0, 0.82198703f0
2.058959f0, 0.73732626f0
2.058959f0, 0.8223808f0
2.0597599f0, 0.73686713f0
2.0597599f0, 0.8227699f0
2.0605605f0, 0.7364113f0
2.0605605f0, 0.82315475f0
2.0613613f0, 0.73594177f0
2.0613613f0, 0.82353777f0
2.0621622f0, 0.8239146f0
2.0621622f0, 0.7354949f0
2.062963f0, 0.73504424f0
2.062963f0, 0.8242873f0
2.0637639f0, 0.7346041f0
2.0637639f0, 0.82465583f0
2.0645645f0, 0.734169f0
2.0645645f0, 0.8250204f0
2.0653653f0, 0.7337348f0
2.0653653f0, 0.8253816f0
2.0661662f0, 0.7333113f0
2.0661662f0, 0.8257385f0
2.066967f0, 0.73288786f0
2.066967f0, 0.82609224f0
2.0677679f0, 0.7324678f0
2.0677679f0, 0.8264426f0
2.0685685f0, 0.7320407f0
2.0685685f0, 0.8267903f0
2.0693693f0, 0.73163724f0
2.0693693f0, 0.8271335f0
2.0701702f0, 0.7312266f0
2.0701702f0, 0.8274741f0
2.070971f0, 0.7308016f0
2.070971f0, 0.8278124f0
2.0717719f0, 0.73039466f0
2.0717719f0, 0.8281468f0
2.0725725f0, 0.7299907f0
2.0725725f0, 0.82847834f0
2.0733733f0, 0.72958964f0
2.0733733f0, 0.82880694f0
2.0741742f0, 0.72919136f0
2.0741742f0, 0.8291327f0
2.074975f0, 0.72879595f0
